FMID,MarketName,street,city,County,State,zip,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,latitude,logitude
1018261,Caledonia Farmers Market Association - Danville,,Danville,Caledonia,Vermont,05828,,,,,,WED: 9:00 AM-1:00 PM;,WED: 9:00 AM-1:00 PM;,WED: 9:00 AM-1:00 PM;,WED: 2:00 PM-6:00 PM;,WED: 2:00 PM-6:00 PM;,,,-72.140337,44.411035999999996
1018318,Stearns Homestead Farmers' Market,6975 Ridge Road,Parma,Cuyahoga,Ohio,,,,,,,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,,,,-81.7339387,41.3748009
1010691,10th Steet Community Farmers Market,10th Street and Poplar,Lamar,Barton,Missouri,64759,,,,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,WED: 3:00 PM-6:00 PM;SAT: 8:00 AM-1:00 PM;,,-94.2746191,37.495628
1002454,112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,,,,,,,TUE:8:00 AM - 5:00 PM;SAT:8:00 AM - 8:00 PM;,TUE:8:00 AM - 5:00 PM;SAT:8:00 AM - 8:00 PM;,TUE:8:00 AM - 5:00 PM;SAT:8:00 AM - 8:00 PM;,TUE:8:00 AM - 5:00 PM;SAT:8:00 AM - 8:00 PM;,TUE:8:00 AM - 5:00 PM;SAT:8:00 AM - 8:00 PM;,,-73.9493,40.7939
1011100,12 South Farmers Market,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,,,,,TUE: 3:30 PM-6:30 PM;,TUE: 3:30 PM-6:30 PM;,TUE: 3:30 PM-6:30 PM;,TUE: 3:30 PM-6:30 PM;,TUE: 3:30 PM-6:30 PM;,TUE: 3:30 PM-6:30 PM;,,,-86.79070899999999,36.11837
1009845,125th Street Fresh Connect Farmers' Market,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd",New York,New York,New York,10027,,,,,,TUE: 10:00 AM-7:00 PM;,TUE: 10:00 AM-7:00 PM;,TUE: 10:00 AM-7:00 PM;,TUE: 10:00 AM-7:00 PM;,TUE: 10:00 AM-7:00 PM;,TUE: 10:00 AM-7:00 PM;,,-73.94824770000001,40.8089533
1005586,12th & Brandywine Urban Farm Market,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,,,,,FRI: 8:00 AM-11:00 AM;,FRI: 8:00 AM-11:00 AM;,FRI: 8:00 AM-11:00 AM;,FRI: 8:00 AM-11:00 AM;,FRI: 8:00 AM-11:00 AM;,FRI: 8:00 AM-11:00 AM;,,,-75.53446,39.742117
1008071,14&U Farmers' Market,1400 U Street NW,Washington,District Of Columbia,District Of Columbia,20009,,,,,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,,-77.0320505,38.9169984
1012710,14th & Kennedy Street Farmers Market,"5500 Colorado Avenue, NW",Washington,District Of Columbia,District Of Columbia,20011,,,,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,SAT: 9:00 AM-1:00 PM;,,-77.03344859999999,38.9559783
1016782,175th Street Greenmarket,175th Street between Wadsworth & Broadway,New York,New York,New York,10033,,,,,,TUE: 8:00 AM-6:00 PM;,TUE: 8:00 AM-6:00 PM;,TUE: 8:00 AM-6:00 PM;,TUE: 8:00 AM-6:00 PM;,TUE: 8:00 AM-6:00 PM;,TUE: 8:00 AM-6:00 PM;,,-73.93804899999999,40.846354
1003877,17th Ave Market,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,,,,,,WED:3:00 PM - 7:00 PM;,WED:3:00 PM - 7:00 PM;,WED:3:00 PM - 7:00 PM;,WED:3:00 PM - 7:00 PM;,,,,-93.2591,45.0044
1016784,17th Street Farmers Market,100 North 17th Street,Richmond,Richmond City,Virginia,23219,,,,,,THU: 3:00 PM-6:30 PM;,,,,,,,-77.428364,37.53385
1010968,18th and Christian Farmers' Market,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,,,,,,THU: 3:00 PM-7:00 PM;,THU: 3:00 PM-7:00 PM;,THU: 3:00 PM-7:00 PM;,THU: 3:00 PM-7:00 PM;,THU: 3:00 PM-7:00 PM;,THU: 3:00 PM-7:00 PM;,,-75.17343100000001,39.940943
1009994,18th Street Farmer's Market,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,,,,,,SAT: 8:00 AM-11:00 AM;,SAT: 8:00 AM-11:00 AM;,SAT: 8:00 AM-11:00 AM;,SAT: 8:00 AM-11:00 AM;,,,,-103.662538,41.864268
1018365,18th Street Farmers Market,825 18th Street,Charleston,Coles,Illinois,61920,,,,,SAT: 8:00 AM-12:00 PM;,SAT: 8:00 AM-12:00 PM;,SAT: 8:00 AM-12:00 PM;,SAT: 8:00 AM-12:00 PM;,SAT: 8:00 AM-12:00 PM;,,,,-88.1622392,39.490714399999995
1012790,19/27 Community Farmers Market,NE 7th Avenue,Chiefland,Levy,Florida,32626,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,,,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,SAT: 8:30 AM-1:00 PM;SAT: 8:30 AM-1:00 PM;,-82.85787320000001,29.484854100000003
1012158,21 Acres Farm Market,13701 NE 171st Street,Woodinville,King,Washington,98072,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,WED: 11:00 AM-6:00 PM;THU: 11:00 AM-6:00 PM;FRI: 11:00 AM-6:00 PM;SAT: 11:00 AM-6:00 PM;,-122.1569875,47.75023970000001
1010873,21st Street Farmers Market,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,,,,,,FRI: 7:30 AM-12:00 PM;,FRI: 7:30 AM-12:00 PM;,FRI: 7:30 AM-12:00 PM;,FRI: 7:30 AM-12:00 PM;,FRI: 7:30 AM-12:00 PM;,,,-95.71451400000001,39.028184
1005309,22nd and Tasker Farmers' Market,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,,,,,,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,,-75.181286,39.932257
1000709,22nd Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,,,,,,SAT: 8:30 AM-2:00 PM;,SAT: 8:30 AM-2:00 PM;,SAT: 8:30 AM-2:00 PM;,SAT: 8:30 AM-2:00 PM;,SAT: 8:30 AM-2:00 PM;,SAT: 8:30 AM-2:00 PM;,,-73.99435799999999,40.404837
1011881,25th Street Market - North Logan at the Library Summer 2016,475 East 2500 North,North Logan,Cache,Utah,84341,,,,,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,,,-111.8206049,41.778243700000004
1010966,26th and Allegheny,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,,,,,,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,,-75.17228829999999,40.0040946
1005299,29th and Wharton Farmers' Market,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,,,,,,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,TUE: 2:00 PM-6:00 PM;,,-75.19204,39.9373
